,Title,Channel,url,video_list,Training
0,Ampel-Propaganda funktioniert nicht,Die Welt Klar Sehen!,https://www.youtube.com/watch?v=ngi53tvX9qI,AFD1,True
1,erschreckend: unzuverlässige Pandemie-Daten,Die Welt Klar Sehen!,https://www.youtube.com/watch?v=pdCvbp4baQY,AFD1,True
2,Alice Weidel zur Generaldebatte zum Bundeshaushalt 2024 am 31.01.24,phoenix,https://www.youtube.com/watch?v=hhUCIuC5PBc,AFD1,True
3,💥GRÜNE ERNÄHRUNGSKONTROLLE💥,Blitzmeldung,https://www.youtube.com/watch?v=1NJ3uviaZkc,AFD1,True
4,💥AfD POLITIKER SCHWER VERLETZT💥,Blitzmeldung,https://www.youtube.com/watch?v=d7FPTfAKgSk,AFD1,True
5,💥GRÜNER Bürgermeister geschlagen: KEINER berichtet wegen Täter HERKUNFT,Oli,https://www.youtube.com/watch?v=3G3Cg7RfFlY,AFD1,True
6,Sh*tstorm…Ganz Twitter Kocht Vor Wut!,Durchblick,https://www.youtube.com/watch?v=StdTMORlQBc,AFD1,True
7,Eilmeldung Eurowahl: AfD Stimmen explodieren und Grüne brechen komplett ein!,Durchblick,https://www.youtube.com/watch?v=tdv3PLDFNoQ,AFD1,True
8,Köstlich😂…Cannabis Verbot Offiziell!,Durchblick,https://www.youtube.com/watch?v=0od7fM2a4m4,AFD1,True
9,Endlich!!! Schweizer Journalist erteilt frechen SPD Politiker eine LEKTION💥,kritisch analysiert,https://www.youtube.com/watch?v=yTEy5Z03ups,AFD1,True
10,Köstlich!!! Altkanzler demütigt öffentlich den CALLCENTER BOY💥,kritisch analysiert,https://www.youtube.com/watch?v=4nehXD7_p4s,AFD1,True
11,🚨 Ralf Stegner (SPD) wird im Schweizer Fernsehen von Oskar Freysinger vorgeführt! 🚨,Politik Joker,https://www.youtube.com/watch?v=ab1qhXbFUvA,AFD1,True
12,Moderatorin ZERBRICHT💥Die Falle geht NACH HINTEN LOS!,Hingeschaut!,https://www.youtube.com/watch?v=NA3mIqKlEKM,AFD1,True
13,Grüne Gender-Fanatiker in Weißglut | Dr. Christian Blex AfD,Dr. Christian Blex,https://www.youtube.com/watch?v=BSc3AnwIE14,AFD1,True
14,💥UNFASSBAR: Journalist ZERLEGT HABECK LIVE IM ÖRR!!💥,Durchleuchtet!,https://www.youtube.com/watch?v=cb9r6BL4jr8,AFD1,True
15,"Retourkutsche für die Grünen, herrlich ❤️",Landwirtschaft erLEEben mit Anthony Lee,https://www.youtube.com/watch?v=sloUMo288YI,AFD1,True
16,Heftig: Mädchen (19) im Knast wegen «Hassrede»!,COMPACTTV,https://www.youtube.com/watch?v=j4DT4tAVEEw,AFD1,True
17,Hubert Aiwanger und Tarek Al-Wazir diskutieren über die Wirtschaftspolitik der Ampel | maischberger,tagesschau,https://www.youtube.com/watch?v=1oSf9rvC0TY,AFD1,False
18,"Sahra Wagenknecht, Wolfgang Grupp & Ralf Stegner im Spitzengespräch: Muss Reichtum begrenzt werden?",DER SPIEGEL,https://www.youtube.com/watch?v=0LsLPWhG6dk,AFD1,False
19,Skandal in der Machtzentrale der DDR | Terra X,Terra X History,https://www.youtube.com/watch?v=_5oTVv4oJHQ,AFD1,False
20,Kreuzfahrten in der DDR | Doku HD | ARTE,ARTEde,https://www.youtube.com/watch?v=komwK0lcUo8,AFD1,False
21,"Rolls-Royce Power Systems - How to Build a 13,600hp Engine | documentary",WELT,https://www.youtube.com/watch?v=UF1v_G6paT0,AFD1,False
22,Warship Anchor Chain Mass Forging Process ! Factory Since 1958 !,Satisfying Tech,https://www.youtube.com/watch?v=XbgAm75K220,AFD1,False
23,BEST7! Amazing Mass Production Process! Impressive Factory!,Satisfying Tech,https://www.youtube.com/watch?v=QISnJHzbhBg,AFD1,False
24,Most Incredible Manufacturing Top Works in Factory Largest Wheels & Jaw Hammer,PK Mechanics,https://www.youtube.com/watch?v=CT40sdZ3Do0,AFD1,False
25,How to Fix a Front Axle On Mid-Traffic | Quick and Efficient Roadside Truck Repair Techniques,PK Mechanics,https://www.youtube.com/watch?v=qbytgFHnrTQ,AFD1,False
26,Amazing Repairing Process of Accidental Bus in Local Workshop ||,Discovering Skills,https://www.youtube.com/watch?v=1a9XqhRKuys,AFD1,False
27,Shaft of the Havey Stone Crusher is Stuck into Hammer || We Repair in Very Strange Way |Bearing Size,Discovering Skills,https://www.youtube.com/watch?v=NG9JZI6wT2o,AFD1,False
28,We Break Aqua Cruise Ship and Make a Excavator Bucket From High Strength Sheets of Ship,Discovering Skills,https://www.youtube.com/watch?v=DENTpS6Ohw0,AFD1,False
29,Amazing and shocking mass production technology. Japan's mass production process and craftsmen BEST5,Process X,https://www.youtube.com/watch?v=4J5fEZGARxg,AFD1,False
30,Top 8 Most viewed Japanese manufacturing process in 2023. Japanese mass production and craftsmen.,Process X,https://www.youtube.com/watch?v=DQZtv2-TWhQ,AFD1,False
31,Amazing Japanese bakery in the mountains! Bread of life living with nature!,FOOD☆STAR,https://www.youtube.com/watch?v=cOK3nS4t7_Y,AFD1,False
32,"Amazing 90 Year Old Super Grandpa!! High Level Bread Making Japanese Bakers, The Best 4",Bread Story パンものがたり,https://www.youtube.com/watch?v=WQXedPPdBKk,AFD1,False
