,Title,Channel,url,video_list,Training
0,"Rechtsextremismus, Managerlöhne, Wahlwochenende | Meyer:Wermuth",SP Schweiz,https://www.youtube.com/watch?v=Rqc4N84Hb1M,Left,True
1,Klimaseniorin Elisabeth Joris: Vom Gemeinschaftsraum nach Strassburg | Meyer:Wermuth,SP Schweiz,https://www.youtube.com/watch?v=ttMms0xNlUU,Left,True
2,Prämieninitiative: Ruth Dreifuss im Gespräch | Meyer:Wermuth,SP Schweiz,https://www.youtube.com/watch?v=qlpauE4ANqs,Left,True
3,"Klimaseniorinnen, Vetternwirtschaft in Genf, Delegierte*r Wohnen in Zürich, Wolfgang Schäuble",Nebelspalter,https://www.youtube.com/watch?v=BTHgGr1Z2m8,Left,True
4,"Krawalle, Familiennachzug, fliegende Bundesräte, sexistische Personalpolitik, noble Ratspräsidien",Nebelspalter,https://www.youtube.com/watch?v=KQeaIaoMh9Y,Left,True
5,Klimaschutz zu ENDE gedacht - BUCHBESPRECHUNG Ulrike Herrmann (Teil 1) | #112. Energie und Klima,Grenzen des Wissens,https://www.youtube.com/watch?v=n8IoYvldfT0,Left,True
6,Das Kapital #1: Der Produktionsprozess des Kapitals (Karl Marx) – Kurzfassung,Literarische Aktion,https://www.youtube.com/watch?v=PcfIUrM8YzY,Left,True
7,What's Up With Capitalism? A Marxist Perspective,Jimi Sol,https://www.youtube.com/watch?v=b2h7NWpyfkE,Left,True
8,Soviet Propaganda: The Millionaire,Dobbiecast History,https://www.youtube.com/watch?v=nWVJHgpnbo0,Left,True
9,The Only Leftist Reading List You'll Ever Need (lol),Hakim,https://www.youtube.com/watch?v=QdwD7zwEpZw,Left,True
10,SOCIALISM: An In-Depth Explanation,Ryan Chapman,https://www.youtube.com/watch?v=lrBRV3WK2x4,Left,True
11,Yanis Varoufakis | The reason I'm a socialist,Eye Of The Storm Podcast,https://www.youtube.com/watch?v=FIXDDTybZe8,Left,True
12,Announcement from Senator Bernie Sanders,Bernie Sanders,https://www.youtube.com/watch?v=iRMICNBXp2Q,Left,True
13,It's time to hold the fossil fuel industry accountable.,Bernie Sanders,https://www.youtube.com/watch?v=ifxBt2Tnh5E,Left,True
14,Marx Part 2: Capitalism's Consequences | Philosophy Tube,Philosophy Tube,https://www.youtube.com/watch?v=yynYFEp8H6w,Left,True
15,Gabor Maté and Yanis Varoufakis | HOW TO HEAL FROM THIS TOXIC CULTURE | Podcast 4,Eye Of The Storm Podcast,https://www.youtube.com/watch?v=SU1ZarHa7O0,Left,True
16,"Interview with Lee Hsien Loong: Two decades as Prime Minister | Part 1 - Foreign policy, economy",CNA,https://www.youtube.com/watch?v=o5KdtWJs3ts,Left,False
17,"Interview with Lee Hsien Loong: Two decades as Prime Minister | Part 2 - Social safety, politics",CNA,https://www.youtube.com/watch?v=H0RKBRdC6cU,Left,False
18,"Lee Kuan Yew: In His Own Words | The ideas, values and career of Singapore's first Prime Minister",CNA,https://www.youtube.com/watch?v=whRN-CJZDr0,Left,False
19,A look back at new Singapore PM Lawrence Wong’s early life and career,CNA,https://www.youtube.com/watch?v=LzUKGcVOeaQ,Left,False
20,Singapore Confronts Rising Risks as Lawrence Wong Takes the Helm,Bloomberg Quicktake,https://www.youtube.com/watch?v=lReGfh4rZj0,Left,False
21,Singapore Prime Minister Lawrence Wong sworn in,Associated Press,https://www.youtube.com/watch?v=LIOftcXndF0,Left,False
22,Lawrence Wong on the selection process for Prime Minister,TODAYonline,https://www.youtube.com/watch?v=vq5eaU3a_TU,Left,False
23,Highlights of PM Lawrence Wong's swearing-in ceremony,TODAYonline,https://www.youtube.com/watch?v=RAMu5UqcpTk,Left,False
24,New PM Lawrence Wong’s promise to Singaporeans,CNA,https://www.youtube.com/watch?v=p2ueeYKHx7Y,Left,False
25,New PM Lawrence Wong thanks PM Lee,CNA,https://www.youtube.com/watch?v=cYRXwvo1y2Q,Left,False
26,Lawrence Wong sworn in as Singapore’s Prime Minister,CNA,https://www.youtube.com/watch?v=-zp8aj-gNeo,Left,False
27,How would Lawrence Wong describe his leadership style?,CNA,https://www.youtube.com/watch?v=laWACE390kw,Left,False
28,PM Lawrence Wong talks about his school days,CNA,https://www.youtube.com/watch?v=ECRBZ0iYBNo,Left,False
29,Singapore PM Lawrence Wong shares warm moment with predecessor Lee Hsien Loong,CNA,https://www.youtube.com/watch?v=hZ-A0FyL4ck,Left,False
30,Exchange of letters between President Tharman and DPM Wong,The Straits Times,https://www.youtube.com/watch?v=iZJ-3h3Godk,Left,False
31,Lawrence Wong sworn in as Singapore’s new Prime Minister,CNA,https://www.youtube.com/watch?v=etpICOJcpY8,Left,False
32,[LIVE] Lawrence Wong's swearing-in as Singapore's new Prime Minister,CNA,https://www.youtube.com/watch?v=ugr2XJdJuhM,Left,False
33,In full: Lawrence Wong’s first speech as Singapore’s Prime Minister at swearing-in ceremony,CNA,https://www.youtube.com/watch?v=02wyKGU7F6Y,Left,False
34,"Lawrence Wong sworn in as fourth PM, says best chapters of Singapore Story lie ahead",CNA,https://www.youtube.com/watch?v=p5iCN4S4Lyc,Left,False
35,“Full confidence in Lawrence Wong’s ability to lead Singapore”: President Tharman,CNA,https://www.youtube.com/watch?v=nj2w3l_VeFs,Left,False
36,Lawrence Wong Sworn in as Fourth PM of Singapore,Bloomberg Television,https://www.youtube.com/watch?v=Ykp9u_0iqp0,Left,False
37,How Singapore Got So Crazy Rich,Bloomberg Originals,https://www.youtube.com/watch?v=YSMWN8VpY6A,Left,False
38,How China Lost Patience with Its Loudest Billionaire,Bloomberg Originals,https://www.youtube.com/watch?v=Bmsz3Jn8z2Q,Left,False
39,Why China's Billionaires Keep Disappearing,CNBC,https://www.youtube.com/watch?v=xB_A-I0e3Yk,Left,False
40,Why American Automakers Are Failing In China,CNBC,https://www.youtube.com/watch?v=LiamzUP6rjo,Left,False
41,How Chinese EV Giant BYD Is Taking On Tesla,CNBC,https://www.youtube.com/watch?v=ybl8IvhGAJ4,Left,False
42,What’s Next For Tesla Superchargers After Elon Musk Laid Off The Entire Team,CNBC,https://www.youtube.com/watch?v=gXPRCnPJYbY,Left,False
43,Nvidia CEO Jensen Huang and the $2 trillion company powering today's AI | 60 Minutes,60 Minutes,https://www.youtube.com/watch?v=DpQQi2scsHo,Left,False
44,"Companies, countries battle to develop quantum computers | 60 Minutes",60 Minutes,https://www.youtube.com/watch?v=K4ssT6Dzmnw,Left,False
45,New quantum computers - Potential and pitfalls | DW Documentary,DW Documentary,https://www.youtube.com/watch?v=0HFzTYlhT2E,Left,False
