,Title,Channel,url,video_list,Training
0,Viele der Straftäter sind Ausländer - das ist nicht rassistisch,SVP Schweiz,https://www.youtube.com/watch?v=BvxnaO-8GpE,SVP1,True
1,"Asyl. Nur so viele aufnehmen, wie an vorübergehend Aufgenommenen das Land verlassen",SVP Schweiz,https://www.youtube.com/watch?v=b3GGgFXt16Q,SVP1,True
2,Magdalena Martullo-Blocher über: «Der Bundesrat will die Schweiz immer noch zur EU-Kolonie machen»,SVP Schweiz,https://www.youtube.com/watch?v=eFrHDAMPk7I,SVP1,True
3,Dr. Beat Kappeler über: Rahmenvertrag: «dynamische» Hörigkeit oder selbstbestimmte Souveränität»,SVP Schweiz,https://www.youtube.com/watch?v=mZSsvuZAGho,SVP1,True
4,Die Schweiz der EU zum Frass vorwerfen? Nein zum Unterwerfungsvertrag!,SVP Schweiz,https://www.youtube.com/watch?v=MjKT3i1OP7U,SVP1,True
5,💥EU WILL LINDT OSTERHASEN GLÖCKCHEN VERBIETEN💥,Blitzmeldung,https://www.youtube.com/watch?v=0InhSnh95nY,SVP1,True
6,Jung und neu im Grossen Rat von Basel: David Trachsel (SVP),Verein Bajour,https://www.youtube.com/watch?v=2g9zx83f2ew,SVP1,True
7,"EU-Wahl 2024: Alles, was ihr wissen müsst",MrWissen2go,https://www.youtube.com/watch?v=TDNDZZ2Rz08,SVP1,False
8,Was will die Werteunion?,MrWissen2go,https://www.youtube.com/watch?v=ipjl0efaZ7Y,SVP1,False
9,Bundestag-Check: Was wissen unsere Politiker über Geschichte?,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=IjvcyoI92I0,SVP1,False
10,Dom-Day: Das Geschichts-Quiz in Köln,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=h1Tm0nL60YE,SVP1,False
11,Mauerfall oder Mauerfail? Geschichtsquiz in Frankfurt am Main + Jena,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=LMuD6N_rcMQ,SVP1,False
12,Geschichtslehrer-Battle: Wer ist der schlauste Geschichtslehrer?,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=ZvkAPF1XXFQ,SVP1,False
13,"7 Jahreszahlen, die ihr kennen solltet",MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=XlsuLefIeWI,SVP1,False
14,5 Spionagefälle und wie sie aufgeflogen sind,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=xWlSdclxkO0,SVP1,False
15,Die Geschichte der Inquisition,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=ZeFWn6j8aMA,SVP1,False
16,Heiliges Römisches Reich Deutscher Nation 962–1806,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=6-LlIVWGCd4,SVP1,False
17,Russischer Bürgerkrieg: So entstand die Sowjetunion,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=HbeywpG4ZO8,SVP1,False
18,Die Russischen Revolutionen erklärt,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=Kt6QoiZ4mQs,SVP1,False
19,Stalins Diktatur | Diktatoren | musstewissen Geschichte,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=c2mA5QOKPB4,SVP1,False
20,"Kommunismus, Sozialismus und Bolschewismus | Geschichte",MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=bmhVLGWszQc,SVP1,False
21,Wer war Karl Marx wirklich?,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=6DUxyHDaJGA,SVP1,False
22,Das Leben von Queen Elizabeth II.,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=_Kf1kkLBvLc,SVP1,False
23,The Crown: So ist es wirklich! | Historischer Faktencheck,MrWissen2go Geschichte | Terra X,https://www.youtube.com/watch?v=tRS6XUf-3XI,SVP1,False
24,So dramatisch waren die letzten 24 Stunden der Queen wirklich,Wissenswert,https://www.youtube.com/watch?v=Hi1RHuHCPSk,SVP1,False
25,Die unbekannte Wahrheit über Alice Weidel,Wissenswert,https://www.youtube.com/watch?v=fRC1qA3njRQ,SVP1,False
26,"Bekannte Politiker, die sich vor laufender Kamera blamierten",Wissenswert,https://www.youtube.com/watch?v=5GrG-XJ5GWY,SVP1,False
27,MUSLIM-INTERAKTIV: Schockierende Enthüllung! | Faeser wurde gewarnt und unternahm nichts!,WELT,https://www.youtube.com/watch?v=nCcWDGswznE,SVP1,False
