,Title,Channel,url,video_list,Training
0,ITALY TRAVEL TIPS FOR FIRST TIMERS | 50 Must-Knows Before Visiting Italy + What NOT to Do!,Happy to Wander,https://www.youtube.com/watch?v=Z97Odil2NwQ,Travel_italy,True
1,Essential ITALY TRAVEL GUIDE 🇮🇹 2024 ☕🚆🍝✈️,Gregor Brown,https://www.youtube.com/watch?v=FgrBaVNz_XA,Travel_italy,True
2,ITALY TOP 10 Travel Tips 🇮🇹👍in 2024,Gregor Brown,https://www.youtube.com/watch?v=gaHvCH9GkAU,Travel_italy,True
3,Every Florence Tourist Should Know These Tips In 2024 🇮🇹🤓,Gregor Brown,https://www.youtube.com/watch?v=rhaevfQN9es,Travel_italy,True
4,Florence Ultimate MUST SEE AND DO Guide 🇮🇹🗺️,Gregor Brown,https://www.youtube.com/watch?v=oA7rZhnatNk,Travel_italy,True
5,Italy Budget Travel Tips,Wolters World,https://www.youtube.com/watch?v=RpdkJx5BPy8,Travel_italy,True
6,Top 10 Places To Visit In Italy - 4K Travel Guide,Ryan Shirley,https://www.youtube.com/watch?v=zS4AP0Q8L8g,Travel_italy,True
7,12 Essential ITALY TRAVEL Tips | WATCH BEFORE YOU GO! 4K Travel Guide,Alexander Ayling,https://www.youtube.com/watch?v=9M31bhWmt2M,Travel_italy,True
8,14 Perfect Days in Italy | Italy Vacation Planning Travel Itinerary,Alexander Ayling,https://www.youtube.com/watch?v=Thp4AXQIP_0,Travel_italy,True
9,"18 Tips I Wish I Knew Before Visiting Rome, Italy",Camden David,https://www.youtube.com/watch?v=b1B4bNSlc9s,Travel_italy,True
10,What NOT to do in ITALY - DON'Ts of Italy [Travel Guide],Hungry Passport,https://www.youtube.com/watch?v=O-lSPLMYPVI,Travel_italy,True
11,10 Best Places to Visit in Italy - Travel Video,touropia,https://www.youtube.com/watch?v=FlRwssZYRM0,Travel_italy,True
12,Italy in 10 days - Travel Guide and Itinerary,Explorin with Laurin,https://www.youtube.com/watch?v=TnOdxid3tzk,Travel_italy,True
13,"18 Best Things to do in Verona, ITALY & BEYOND!",The Intrepid Guide,https://www.youtube.com/watch?v=Rn1QRl7bTvM,Travel_italy,True
14,Top 10 Italian Phrases for Travel you NEED to know + FREE PDF 📚 [🇮🇹 Italian for Beginners],The Intrepid Guide,https://www.youtube.com/watch?v=1BppkVF4D7s,Travel_italy,True
15,TOP Places To Visit In ITALY (Best 9 Day Itinerary),Adventure Singh,https://www.youtube.com/watch?v=tqeGekfuVpg,Travel_italy,True
16,Italy: Best Travel Tips and Places,Lexie Limitless,https://www.youtube.com/watch?v=dt02FaiWAhk,Travel_italy,True
17,Spain: Best Travel Tips and Places,Lexie Limitless,https://www.youtube.com/watch?v=sSW6aoHablU,Travel_italy,False
18,15 Things to KNOW BEFORE YOU GO to Barcelona First Time Travel | 2024 Barcelona Spain Travel Guide,CORR Travel - Revinvent Life Over 50. Travel Solo!,https://www.youtube.com/watch?v=Xb6WuE0sR_0,Travel_italy,False
19,Two Days in BARCELONA | Perfect 48 Hour Budget Itinerary,Here's Good,https://www.youtube.com/watch?v=mHcIDc9BayU,Travel_italy,False
20,How to See Barcelona in A Day Guide,The Tour Guy,https://www.youtube.com/watch?v=z_Z4YIY8THQ,Travel_italy,False
21,25 BEST Things To Do In Barcelona In 2024 🇪🇸 FULL TRAVEL GUIDE,DanVsWorld,https://www.youtube.com/watch?v=17AaXa8pboQ,Travel_italy,False
22,Making the Most of 2 Days in Barcelona Spain,Josh and Rachael,https://www.youtube.com/watch?v=_0KCYPc5CeM,Travel_italy,False
23,How to Spend 3 Days in BARCELONA Spain | Travel Itinerary,Exotic Vacation,https://www.youtube.com/watch?v=cKWUZLXbJKk,Travel_italy,False
24,How to Spend 3 Days in MILAN Italy | Travel Itinerary,Exotic Vacation,https://www.youtube.com/watch?v=6lJCKVCJpNw,Travel_italy,False
25,How to Spend 2 Days in ROME Italy | Travel Itinerary,Exotic Vacation,https://www.youtube.com/watch?v=VLInjyogciw,Travel_italy,False
26,"12 Days in ITALY - Venice, Florence, Pisa, Lucca, Cinque Terre, and Rome | Travel Vlog & Guide",Dream to Journey Family,https://www.youtube.com/watch?v=N9-WahQXSdw,Travel_italy,False
27,"24 Hours In Venice, Italy",Lemon Branch Travels,https://www.youtube.com/watch?v=5ZWqZ1MiNtI,Travel_italy,False
28,Venice Italy trip in March 2024,Joyce and Brian travel journal,https://www.youtube.com/watch?v=v6-gH-ysToQ,Travel_italy,False
