,Title,Channel,url,video_list,Training
0,How to Make Perfect Pizza | Gennaro Contaldo,Jamie Oliver,https://www.youtube.com/watch?v=1-SJGQ2HLp8,Pizza,True
1,How to Make NEAPOLITAN PIZZA DOUGH like a World Best Pizza Chef,Vincenzo's Plate,https://www.youtube.com/watch?v=8Q_9h6VKm9c,Pizza,True
2,The Best Homemade Pizza You'll Ever Eat,Tasty,https://www.youtube.com/watch?v=sv3TXMSv6Lw,Pizza,True
3,Pizza Dough Recipe,Preppy Kitchen,https://www.youtube.com/watch?v=Eim2GpHNQDg,Pizza,True
4,The Best Pizza In Naples | Best Of The Best,Insider Food,https://www.youtube.com/watch?v=7toSikYGFNM,Pizza,True
5,Perfect Pizza at Home,Nino's Home,https://www.youtube.com/watch?v=PCAwJs51D0k,Pizza,True
6,HOW TO MAKE NEXT LEVEL PIZZA DOUGH | DOUBLE FERMENTED + POOLISH,Vito Iacopelli,https://www.youtube.com/watch?v=u7Hd6ZzKgBM,Pizza,True
7,Best Homemade Pizza Dough Recipe | How To Make Pizza Crust,Natashas Kitchen,https://www.youtube.com/watch?v=WM1XcYXix0Y,Pizza,True
8,Making Dominos Pizza At Home (2 Ways) | But Better,Joshua Weissman,https://www.youtube.com/watch?v=GMYwTEek9mg,Pizza,True
9,Learn How to Make the Best Homemade Pizza with Gennaro Contaldo | Citalia,Citalia,https://www.youtube.com/watch?v=n-VRntrbypI,Pizza,True
10,Italian Pizza,Cooking With Ayeh,https://www.youtube.com/watch?v=u-vVBBWAu0k,Pizza,False
11,No Knead Focaccia - Cooking With Ayeh,Cooking With Ayeh,https://www.youtube.com/watch?v=KyrRU8rDnAo,Pizza,False
12,Easiest No-Knead Focaccia Recipe #bread #sourdough #focaccia #recipe #shortsfeed #homemade #trending,Shebakesourdough,https://www.youtube.com/watch?v=bmO6CIOrDEU,Pizza,False
13,The Easiest No-Knead Focaccia Recipe!#homemade#focaccia#easyrecipe#sourdough#bread#shorts#tutorial,Shebakesourdough,https://www.youtube.com/watch?v=EV3RbEYn7VU,Pizza,False
14,My Most Viral Focaccia Recipe #recipe #easy#sourdough#bread#homemade#shorts#satisfying#tutorial,Shebakesourdough,https://www.youtube.com/watch?v=wgTpIbPbXtg,Pizza,False
15,Easy 3-ingredient Bagel! #bagel#recipe#homemade#sourdough#tutorial#sandwich#shorts#bread,Shebakesourdough,https://www.youtube.com/watch?v=0ULnS3MYF9I,Pizza,False
16,Homemade New York Style Bagels,Sophie Feldman,https://www.youtube.com/watch?v=KMJHK4-8Crw,Pizza,False
17,The EASIEST bagel recipe ever #shorts #zerowastekitchen #frugalcooking,Sustainably Vegan,https://www.youtube.com/watch?v=iI-WFn_8V-A,Pizza,False
18,"If you only have 10 minutes to make breakfast, try this! #recipe #food #shorts",Moribyan,https://www.youtube.com/watch?v=xO0iZkiTaMw,Pizza,False
19,Skip the long brunch lines and make these sandwiches instead!! #recipe #food #shorts,Moribyan,https://www.youtube.com/watch?v=9aaozcPhqkI,Pizza,False
20,what I make when I don’t feel like cooking!,Moribyan,https://www.youtube.com/watch?v=QAbaPW-h5hY,Pizza,False
21,How to make a chopped cheese! #recipe,Moribyan,https://www.youtube.com/watch?v=GcfK_KR9ULs,Pizza,False
22,"next time you make tater tots, smash them",Moribyan,https://www.youtube.com/watch?v=7-nEvbYr18k,Pizza,False
23,ADDICTING mini donut bites! #recipe,Moribyan,https://www.youtube.com/watch?v=E_2VHXdnBAs,Pizza,False
24,making the VIRAL CROOKIE 🥐🍪 from Paris #recipe #food #shorts,Moribyan,https://www.youtube.com/watch?v=u-kc2zNuHQM,Pizza,False
25,turning 🍕 pizza into a sandwich #recipe #shorts,Moribyan,https://www.youtube.com/watch?v=UfjhQmSX19w,Pizza,False
26,what I make when I don’t feel like cooking!,Moribyan,https://www.youtube.com/watch?v=hXUQFRi7-YM,Pizza,False
27,Turning a Big Mac into TACOS #recipe #food #shorts,Moribyan,https://www.youtube.com/watch?v=Ag6yg0BM-jQ,Pizza,False
28,How to make a BIG MAC at home and EVEN BETTER! #recipe #food #shorts,Moribyan,https://www.youtube.com/watch?v=3eStME_iTXY,Pizza,False
29,This sandwich went viral on TikTok and it is worth more than the hype! #shorts,Moribyan,https://www.youtube.com/watch?v=m_wr5VYXUu8,Pizza,False
30,"If you only have 10 MINUTES, you have to make this for lunch!",Moribyan,https://www.youtube.com/watch?v=X4ByXN4D6AY,Pizza,False
31,The best breakfast in under 30 minutes!,Moribyan,https://www.youtube.com/watch?v=nFaCVKiwYrA,Pizza,False
32,I ate this sandwich EVERY.SINGLE.DAY for 2 weeks in Japan! #recipe #food #shorts,Moribyan,https://www.youtube.com/watch?v=2HDfjztL3II,Pizza,False
33,Easy & Creamy Japanese Tamago Sando,Christie at Home,https://www.youtube.com/watch?v=1Fly2bsfTl0,Pizza,False
34,EXTRA CREAMY Japanese Egg Sandwich (4 Ingredients),TIFFY BOOKS,https://www.youtube.com/watch?v=Tz_dh6FXVZI,Pizza,False
35,Korean Marinated Eggs - Mayak Gyeran (EASY & ADDICTING!),TIFFY BOOKS,https://www.youtube.com/watch?v=8Opz3IFMP-8,Pizza,False
36,Try this Garlic Mushroom Sauce with your chicken or steak (night market-style),TIFFY BOOKS,https://www.youtube.com/watch?v=_18iZMyhuSw,Pizza,False
37,"Taiwanese XXL Fried Chicken is juicy, tender, flavourful, and super crispy!",TIFFY BOOKS,https://www.youtube.com/watch?v=vweu7N65KJc,Pizza,False
38,Korean Fried Chicken Bites (EXTRA CRISPY),TIFFY BOOKS,https://www.youtube.com/watch?v=356-s8P7bFU,Pizza,False
39,Who said healthy chicken wings can't be CRISPY?,TIFFY BOOKS,https://www.youtube.com/watch?v=qXSCEDzZpQo,Pizza,False
